,H=5,H=6,H=7,H=8,H=9,H=10,H=11,H=12,H=13,H=14,H=15
2008-05-22,84.32758844748119,84.32925207193233,84.32937922578832,84.329428993281,84.32946634288764,84.3294850832572,84.32948867576648,84.32948949406625,84.32948962183825,84.32948971928249,84.32948980237789
2008-05-23,84.37424731786743,84.37576667209333,84.37590436945908,84.37595630132856,84.37599999259788,84.37601739856557,84.37602001660342,84.37602078489503,84.37602094694252,84.37602098824016,84.37602103496505
2008-05-26,84.48699290613102,84.48836876360308,84.48853345698903,84.48858848665736,84.4886188150124,84.48863181181775,84.48863435215004,84.48863522133921,84.48863545021023,84.48863550118185,84.48863554632862
2008-05-27,84.45678047430071,84.45825227438742,84.45848359572246,84.45854157012359,84.45858123696108,84.45859526886301,84.45859799338086,84.45859909718229,84.45859932443636,84.45859943652422,84.4585995107473
2008-05-28,84.42301551499548,84.4244818635364,84.42472357080452,84.42478406480066,84.42482699771492,84.42484231601638,84.4248449736682,84.42484596470882,84.42484618697708,84.42484630656273,84.4248463775384
2008-05-29,84.32544688182423,84.32692404418911,84.32711295002372,84.32715162637633,84.32718708264458,84.3272011087849,84.32720372609013,84.32720485218398,84.32720516077053,84.32720530062319,84.327205375518
2008-05-30,84.16487835190989,84.16685611808099,84.16714374027714,84.1671833494346,84.16721188154757,84.16722696022111,84.1672300229573,84.16723138715957,84.16723189526604,84.1672320590274,84.16723213042705
2008-06-02,84.04071021029735,84.04293944308853,84.04335666171416,84.04343325072219,84.0434768056427,84.04349234230045,84.04349549439726,84.04349754979799,84.04349818895557,84.04349827111547,84.04349832621746
2008-06-03,83.91292283014803,83.91450941584728,83.91475483712705,83.91479097555893,83.91482632913902,83.91483440904575,83.91483635024048,83.914838704291,83.91483923106794,83.9148392655354,83.9148393262787
2008-06-04,83.92435597657798,83.92616056092012,83.92648476498968,83.92652585214593,83.92656807282106,83.92657737597102,83.92657819406283,83.92657998961663,83.9265803644446,83.9265804135519,83.92658045740097
2008-06-05,83.96750213370852,83.9687848236589,83.96899965028523,83.96902616357818,83.96906234442916,83.9690699872637,83.96907065177376,83.96907197245469,83.96907223252774,83.96907226911168,83.96907229635956
2008-06-06,84.09335559736776,84.09475201190507,84.09502149093595,84.09504684876417,84.09508983088514,84.09509666981614,84.09509763629931,84.09509922483859,84.09509939327405,84.09509945060091,84.09509947549208
2008-06-09,84.14229800113849,84.14375747249258,84.14393342138055,84.14397380934555,84.14401982661275,84.1440238638216,84.14402606661297,84.1440268187321,84.14402687622872,84.14402696644748,84.1440269765802
2008-06-10,84.19377512718131,84.19514549316158,84.1953583382986,84.1954051110532,84.19544724254263,84.1954522665667,84.19545410086525,84.19545489498195,84.19545495565653,84.19545502761785,84.19545504235118
2008-06-11,84.2504313659898,84.25190156389422,84.25204562446365,84.25206458034891,84.2521121894111,84.25211524599041,84.25211689716683,84.252117480762,84.25211764911697,84.25211774609576,84.2521177531826
2008-06-12,84.10623423434646,84.10797181286611,84.10818896982899,84.10819849172714,84.10824535314525,84.1082514940505,84.10825253632021,84.10825351788519,84.10825363089498,84.10825374352423,84.10825375808997
2008-06-13,84.00620086466019,84.007828216549,84.00810848535063,84.00812133392928,84.00818314273741,84.00819327636208,84.00819441756919,84.00819553890788,84.00819565140698,84.00819573380119,84.008195744252
2008-06-16,83.97904393441846,83.98057619722378,83.98083877329748,83.98084578071067,83.9809056954561,83.98091277778052,83.98091472835681,83.98091574539866,83.98091588919952,83.98091602007057,83.98091603167963
2008-06-17,83.96300065140811,83.96464960576805,83.9649413762619,83.96494268270581,83.96501189494245,83.96502227646133,83.96502449076463,83.96502598209067,83.96502615802325,83.96502631228245,83.96502632613385
2008-06-18,83.87248838591017,83.87391535264881,83.87419738307901,83.87420136776068,83.87426598216382,83.87427723287314,83.87427887807159,83.87428050264974,83.87428065910457,83.874280806526,83.87428081996518
2008-06-19,83.82759707012579,83.8285943881076,83.82884239194115,83.82884586985705,83.82890105141585,83.82891376709112,83.82891509599897,83.82891673297325,83.82891698359737,83.82891712536733,83.82891714914649
