,0
2009-01-21,83.5779113224605
2009-01-22,83.64440295719446
2009-01-23,83.67756494221865
2009-01-26,83.52280992579931
2009-01-27,83.56556158338438
2009-01-28,83.49280463216117
2009-01-29,83.47043101332225
2009-01-30,83.54964748247839
2009-02-02,83.61553994695936
2009-02-03,83.65452309312819
2009-02-04,83.71755967423015
2009-02-05,83.63840910583133
2009-02-06,83.49507532519902
2009-02-09,83.45830726881621
2009-02-10,83.4418323403984
2009-02-11,83.5322893659979
2009-02-12,83.47169449694162
2009-02-13,83.48212303257183
2009-02-16,83.43426571412925
2009-02-17,83.44052449235724
2009-02-18,83.37217894417259
2009-02-19,83.43732966882067
2009-02-20,83.38359572322886
2009-02-23,83.37357537140973
2009-02-24,83.40206107602232
2009-02-25,83.39225713902637
2009-02-26,83.49117677295968
