,H=5,H=6,H=7,H=8,H=9,H=10,H=11,H=12,H=13,H=14,H=15
2017-06-07,69.98779349946652,69.99929730043695,70.00282107297825,70.00418630529147,70.00469207817291,70.00484030771717,70.00490341679946,70.00492173309584,70.00492701310765,70.00492880953176,70.00492930442836
2017-06-08,69.98598814350004,69.99703174628226,70.00057312581974,70.0018800569083,70.00240364652363,70.00256606359306,70.00263718933114,70.00266026679536,70.00266676829312,70.00266898336461,70.00266959003363
2017-06-09,69.90749030414763,69.91866929988376,69.9227024009995,69.92419723005726,69.92483228265898,69.92502951621645,69.92511718642615,69.92514666629181,69.92515565828215,69.92515885803753,69.92515979244604
2017-06-12,69.62617531033587,69.63857215480091,69.64336151521832,69.64520492244851,69.64602083535438,69.64629753167371,69.64642393663625,69.6464709164851,69.64648700752485,69.64649327914863,69.64649541774293
2017-06-13,69.60867856302498,69.61925304250877,69.62326897939298,69.6246484600282,69.62527146476445,69.62546003213312,69.6255486888511,69.62557940630818,69.62558888292682,69.62559240245182,69.62559349274423
2017-06-14,69.63210119577403,69.64288277768583,69.64645902608821,69.64778748189924,69.64840077501678,69.64856692532102,69.64864467347823,69.64867212867487,69.64867967201586,69.64868230314406,69.64868308835656
2017-06-15,67.27667660678014,67.28472943172311,67.28756914355164,67.28858383567028,67.28908383936208,67.28923268658677,67.28929754476148,67.28932024532338,67.28932626804814,67.2893282511121,67.28932881705396
2017-06-16,66.44535007730434,66.45194333202907,66.45422008552164,66.45500992754432,66.45540542710725,66.45551379511203,66.45556609023444,66.45558439202465,66.4555894439946,66.45559120093006,66.45559174756339
2017-06-19,65.7626087270923,65.7692340300415,65.77146253362902,65.7721792886915,65.77265139885698,65.772770478607,65.77282194567019,65.77284134876402,65.77284670095672,65.77284878006412,65.77284948244903
2017-06-20,65.74247783803241,65.74926598182878,65.75189514404472,65.75265083041337,65.75319130614423,65.7533338725905,65.7533918604582,65.7534133510401,65.75341889470437,65.75342107237697,65.75342188645278
2017-06-21,65.55579049442264,65.56237166023763,65.56458120978057,65.5653105693376,65.56574032220192,65.56585921462018,65.56591367652041,65.56593449622846,65.5659410087237,65.56594349836841,65.56594435100035
2017-06-22,65.679120313485,65.68617085707514,65.68827007685736,65.68889070400682,65.68926883276774,65.68936501675516,65.68940888695258,65.68942533632224,65.68942993735594,65.68943166280485,65.68943224797647
2017-06-23,65.74831566461641,65.7539042279089,65.75593900604485,65.75657934770288,65.75695966649248,65.75706973795677,65.75712751110582,65.7571501388895,65.75715699640814,65.75715973145067,65.75716061361958
2017-06-26,65.71155940601552,65.71753803579168,65.71961403051861,65.72029454715128,65.72069849930381,65.72082012367594,65.72088103085369,65.72090393952934,65.72091084476796,65.72091368137588,65.7209146317225
2017-06-27,65.29218243359422,65.29750360949083,65.29949417673528,65.30007402930747,65.30040784860202,65.3005159616019,65.30056453189182,65.30058331268951,65.30058971688725,65.30059227853997,65.30059310833481
2017-06-28,65.67144353735505,65.67733488640114,65.67971385962714,65.68035655939156,65.68073746697848,65.68086497620035,65.68092380542366,65.68094529086841,65.68095302425316,65.68095615225938,65.6809571837814
2017-06-29,65.69036224248416,65.69555278247783,65.69749056466937,65.69799609709167,65.69826432823108,65.6983482644744,65.69838934950727,65.69840431079254,65.69840954047788,65.69841161810706,65.69841226523853
2017-06-30,65.78681339247787,65.79219000107008,65.79393845075252,65.79450805597213,65.79475204182539,65.79483068613872,65.79486584180492,65.79487847201334,65.79488351155992,65.79488550091915,65.79488605567946
2017-07-03,65.66156024544254,65.66782294107446,65.66972459442648,65.67037197785614,65.67064492265544,65.67072491765967,65.67076152130316,65.67077356162264,65.6707777951249,65.67077961277906,65.67078021789638
2017-07-04,65.80916783396597,65.81339103628075,65.81463316201469,65.81506446658548,65.81523856062446,65.81528448842788,65.81530298641854,65.81530896408935,65.81531072862882,65.81531148946317,65.81531173638538
2017-07-05,65.45518922126962,65.46046842012592,65.4621744239336,65.46280700200035,65.46305643788556,65.46312727826017,65.4631584765654,65.46317005319618,65.46317416702884,65.46317613790252,65.4631768828784
2017-07-06,65.14002532777016,65.14448162823707,65.14653459062204,65.14708107461895,65.14731344538662,65.1473872245385,65.14742745303526,65.14744034722155,65.14744417120161,65.14744629178136,65.14744705532325
2017-07-07,65.59050138713081,65.59655075671898,65.59932789253665,65.60003532432694,65.6003298183375,65.60044027661152,65.60049563080459,65.60051181945568,65.60051750480996,65.60052100449613,65.6005222457203
2017-07-10,65.83568359405567,65.8439828123025,65.84841911236556,65.84970859652223,65.85018734719881,65.85038261497938,65.85048365320642,65.85052003456292,65.85053469557319,65.85054299542642,65.85054642084974
2017-07-11,65.76575840028958,65.77188785520889,65.77528835140465,65.77626854381779,65.7765849363837,65.77671949880325,65.77678142329759,65.77680293014149,65.77681126200221,65.77681633913056,65.77681828008626
2017-07-12,65.66792464199787,65.67307872835566,65.67627149885482,65.67714123618374,65.67743001782436,65.67755586361183,65.67761740145976,65.67763761831337,65.67764459844264,65.6776491556289,65.67765087545493
2017-07-13,65.72770460856226,65.73296061774396,65.73624414015087,65.7371820840252,65.73747778893913,65.73760804805715,65.73766934757717,65.7376904125545,65.73769764258508,65.73770249820363,65.73770429107161
2017-07-14,65.73055624859013,65.73648661398856,65.74023901828572,65.74127554802402,65.74160345492403,65.74175255954792,65.74182486556376,65.74185009179787,65.7418586504821,65.74186439039951,65.74186649280038
2017-07-17,65.36731936534973,65.37262165722856,65.37584574166773,65.37667876707104,65.37696270084216,65.37709401659198,65.37714888767447,65.37716603098362,65.37717211187531,65.37717623381812,65.37717768908887
2017-07-18,65.27777664853738,65.28280128897944,65.28576917852222,65.28652886648332,65.28677597301123,65.28689421358908,65.28694053782718,65.28695518938844,65.2869601374738,65.28696352810651,65.28696471923958
2017-07-19,65.3704921635461,65.37598146201712,65.37975934498733,65.38062415761878,65.3809028870147,65.38103605353544,65.38109271801122,65.38111049798096,65.38111634986622,65.38112057492333,65.38112208495731
2017-07-20,65.36272388108185,65.36811099330359,65.37179110823907,65.37258375101473,65.37285534810651,65.37300032196804,65.37306227646334,65.37308265050108,65.37308953620915,65.3730946811573,65.37309655237623
2017-07-21,65.44137037917103,65.44660611109934,65.45026084948397,65.45098181801006,65.45122451710974,65.45136137100789,65.45142191268766,65.45144112310759,65.45144728656783,65.45145247763323,65.45145423389683
