,0
2008-11-13,85.11372451770173
2008-11-14,85.19331964575136
2008-11-17,85.13626155465874
2008-11-18,85.16619223977759
2008-11-19,85.12847633871226
2008-11-20,85.25966638130778
2008-11-21,85.16940831141869
2008-11-24,85.67678066306425
2008-11-25,85.68608739205796
2008-11-26,85.47903394565695
2008-11-27,85.471566410611
2008-11-28,85.5434981001476
2008-12-01,85.53209786704988
2008-12-02,85.77983504775102
2008-12-03,86.11473587980811
2008-12-04,85.96406158417432
2008-12-05,86.05355135585971
2008-12-08,86.13403565704304
2008-12-09,86.07474707707998
2008-12-10,85.9882484092519
2008-12-11,86.04216927920925
2008-12-12,86.16698969900702
2008-12-15,86.03902201790208
2008-12-16,85.9377434311998
2008-12-17,85.98077832931536
2008-12-18,85.91864112398918
2008-12-19,85.94729972863693
2008-12-22,86.00914336171421
2008-12-23,86.04491795356218
2008-12-24,86.10017428427422
2008-12-25,85.97868749361747
2008-12-26,85.98524128910955
2008-12-29,85.91725479524925
2008-12-30,85.93090440067074
2008-12-31,86.00971771903008
2009-01-01,85.87668292427063
2009-01-02,85.91098710513546
2009-01-05,85.87581016445198
2009-01-06,85.86984440024086
2009-01-07,85.876799380285
2009-01-08,85.72277296602378
2009-01-09,85.74503637377184
2009-01-12,85.80144006150091
2009-01-13,85.82569805938813
2009-01-14,85.72182712996484
2009-01-15,85.8089005202442
2009-01-16,85.8104099511434
2009-01-19,85.70041467290817
2009-01-20,85.65409831753902
2009-01-21,85.67752919473891
2009-01-22,85.62292450570538
2009-01-23,85.6118478893231
2009-01-26,85.51276042996533
2009-01-27,85.5319074352601
2009-01-28,85.45868342179394
2009-01-29,85.48833617630561
2009-01-30,85.55504421303166
2009-02-02,85.64354698779118
2009-02-03,85.62984605976365
2009-02-04,85.66511314934641
2009-02-05,85.67019911529133
2009-02-06,85.66771257571654
2009-02-09,85.6968802143941
2009-02-10,85.6627855627264
2009-02-11,85.76232512731076
2009-02-12,85.69631443019985
2009-02-13,85.69641382208995
2009-02-16,85.71125581656767
2009-02-17,85.71368615857135
2009-02-18,85.70775499275729
2009-02-19,85.74065313868347
2009-02-20,85.68384620055262
2009-02-23,85.68300235251378
2009-02-24,85.69108762131515
2009-02-25,85.68579291227151
2009-02-26,85.66419328941844
