,L=1,L=2,L=3,L=4
2014-04-30,79.72907304244376,80.23186809461733,80.65346473825,81.36271552047359
2014-05-01,79.78649267198918,80.36873436472364,80.71739639705574,81.40620794260592
2014-05-02,79.808753389833,80.40803639084739,80.73306416756404,81.37172771607979
2014-05-05,79.79878935675153,80.36502881147806,80.66766350055687,81.54253792869184
2014-05-06,79.78057617930816,80.3035508916143,80.80261210236769,81.4660019049891
2014-05-07,79.69446911527834,80.46561469059348,80.65942348196846,81.42212363189938
2014-05-08,79.87129757078596,80.3904412352783,80.65099023658523,81.4688903337649
2014-05-09,79.84157652533662,80.44629595983322,80.77633021273645,81.65843910163021
2014-05-12,79.80988744763367,80.43602206338704,80.84488440643695,81.71763583190527
2014-05-13,79.80210221283008,80.55590304944059,80.88766252187138,81.83395115643529
2014-05-14,79.83307638457582,80.5712152721834,80.9273407743934,82.01145147996434
2014-05-15,79.84730355320676,80.67685847888204,81.06714568313377,82.05038693981298
2014-05-16,80.0772139398838,80.86228535464414,81.23605746356843,82.08162542559198
2014-05-19,80.121079549425,80.8697231886463,81.15028592279198,81.84636375541903
2014-05-20,80.21348012161701,80.83275450332685,80.97071976722216,81.81297070183462
2014-05-21,80.24025890602857,80.70086845139993,80.99641459929067,81.88029506610377
2014-05-22,80.1171859635538,80.70960711005057,81.0674713757101,81.8676621272705
2014-05-23,80.17589957106173,80.71496022406124,81.05856239570689,81.84090711396277
2014-05-26,80.21794119304282,80.72642224112107,81.00368257783045,81.8325167390478
2014-05-27,80.23429613056527,80.73140880121736,81.06868599848632,81.90239472700837
2014-05-28,80.1764864264073,80.73629293027035,81.10862169067393,81.88710928677186
2014-05-29,80.1008519899606,80.76638612410375,81.1184310228662,81.24030296185919
2014-05-30,80.13197830593761,80.78920386354913,80.47265779848028,81.14395039684858
2014-06-02,80.13859021826637,80.02446620414044,80.31663650602874,81.21669117862392
2014-06-03,79.30835601874945,79.91877333478232,80.3447558796459,81.17516105448914
2014-06-04,79.23031263279793,79.93872683592436,80.35480519955502,81.13569639852311
2014-06-05,79.2590426699711,79.92040811536494,80.31105927049941,81.02229197713129
2014-06-06,79.25835870949084,79.9024711652262,80.30135950021779,80.96006342391851
2014-06-09,79.30415135025383,80.00947676723246,80.3168549046843,81.00893362985009
2014-06-10,79.29921032478269,79.76978535880957,80.13885200910505,80.85883094645969
2014-06-11,79.20643468341417,79.78118276597937,80.19812907398605,80.68114070488505
2014-06-12,79.26023339862476,79.87143419277109,80.03768659423449,80.31360727602001
2014-06-13,79.54491069715495,79.93133696646399,79.85412893314917,80.50733923084506
2014-06-16,79.31247503478502,79.61317879395395,79.87813230258071,80.55053895287465
2014-06-17,79.01396312449901,79.55945486474032,79.88848377447013,80.5234678148606
2014-06-18,79.02561334869401,79.51691324572539,79.91735037584101,80.5221030584995
2014-06-19,78.92376898355575,79.50816395346673,79.7936487797609,80.4352935693548
2014-06-20,78.86371493894964,79.41577851511579,79.74327474854411,79.41678129862892
2014-06-23,78.82268655302217,79.42529666989688,78.94656332125672,79.53740278335648
2014-06-24,78.75079628714963,78.64659083273028,78.92489507377385,79.7438813546843
2014-06-25,78.07816184684052,78.72856091542684,79.23167783062422,79.87956448184705
2014-06-26,78.07263920989327,78.90048170256505,79.21257617409346,79.84322725450212
2014-06-27,78.06232721132645,78.77941862202643,79.1435893474396,79.7287695444735
2014-06-30,78.03748362850804,78.77146261337586,79.12525843849785,79.68894574780433
2014-07-01,78.09051815681592,78.76951513185642,79.13073215443991,79.66172955969644
2014-07-02,78.11906961139985,78.81631115966188,79.12997467378507,79.63369532658534
2014-07-03,78.11609182237422,78.78363906133934,79.0623359028498,79.65698636214566
2014-07-04,78.19389029912924,78.7839643691063,79.17190825348169,79.73677352120568
2014-07-07,78.16880414799226,78.76399620148013,79.16493814967119,79.80610691031694
2014-07-08,78.15657236397952,78.75871353831333,79.32582506900516,80.0046288563799
2014-07-09,78.00180410429046,78.62354767913763,79.28554196781057,79.82765763767675
2014-07-10,77.98130741396729,78.6210297574589,79.18880250613647,79.69639295007538
2014-07-11,78.0872283152517,78.69410258236051,79.27761456492378,79.8562598297082
2014-07-14,77.96543903693856,78.51025008798851,79.21920854460166,79.61299043173416
2014-07-15,77.81266494123909,78.49397127483577,79.1445097169119,79.81416860175294
2014-07-16,77.81365429446126,78.53979162954877,79.44059635135226,79.70035688819466
2014-07-17,78.0405003284067,78.79597227421732,79.46577897351416,79.97186461434764
2014-07-18,78.28899694737864,78.75043739133024,79.62997333366934,80.03019965504929
2014-07-21,78.07068981326799,78.6565988837784,79.36575243419178,79.61531246112455
2014-07-22,78.20014849552888,78.72314867389908,79.31582676871184,79.63706751825626
2014-07-23,78.19899257716723,78.56044725522634,79.41627021601204,79.98958324241063
2014-07-24,78.00712417357593,78.56629364595763,79.57708579883447,79.88669118846255
2014-07-25,78.03128792293086,78.66947953811027,79.57121698883753,79.8811517760279
2014-07-28,78.1323693719734,78.79574507678669,79.63988448166187,79.9464449384774
2014-07-29,78.20568736830063,78.75385361920515,79.60836583909938,79.88840349473556
2014-07-30,78.339031938123,78.79139627615892,79.63950881930013,79.91459296179517
2014-07-31,78.23243160480389,78.69697937769337,79.45964569412602,79.78871166115437
2014-08-01,78.66881580964208,79.09684653635084,79.914607408299,80.1443971093748
2014-08-04,78.56938105012784,79.03344698599301,79.79878903061865,80.33323118945208
2014-08-05,78.61409621771426,79.06180995854206,79.88308448117871,80.27790039480513
2014-08-06,78.54206913853261,79.06914607048924,79.90558828066472,80.34210470315297
2014-08-07,78.53062764835113,79.06304749319489,79.86998731704479,80.11015787159754
2014-08-08,78.53448430145596,79.10878350270309,79.91520654723536,80.30811071385403
2014-08-11,78.60926511496912,79.22688724781976,80.05642456125224,80.49254912080379
2014-08-12,78.6777797642927,79.34576015567161,80.30647654454233,80.92278706654173
2014-08-13,78.67720828815112,79.54969973978639,80.41898202491465,80.94296119843123
2014-08-14,78.75888190477536,79.58735223987345,80.34197359943747,80.93602690290868
2014-08-15,78.80298094874784,79.40219472606242,80.19763364707066,80.82817146976201
2014-08-18,78.7513371569798,79.4441348024576,80.25874688771624,80.78552040844707
2014-08-19,78.88601506318255,79.66907545418873,80.306193933821,80.83477733511444
2014-08-20,79.00361751530103,79.63771536410947,80.24930108017115,80.84921812321045
2014-08-21,79.01207785247308,79.61390302569875,80.20217725474492,80.81513750315837
2014-08-22,78.98920663530491,79.54083592697307,80.29221871204626,80.77294983155775
2014-08-25,78.91667596944737,79.62525571847233,80.27841397123794,80.77132661904572
2014-08-26,79.06259099935504,79.63257544529742,80.3244129794311,80.80567601519645
2014-08-27,79.06517992571229,79.63420549581224,80.29302659396362,80.79300532524066
2014-08-28,79.21126669973557,79.74127240772161,80.25599629037981,80.81935273077522
2014-08-29,79.28581678383158,79.71912342734568,80.24299224483772,80.88578471882464
2014-09-01,79.23211789914576,79.70775733708386,80.27642834961493,80.84954500241714
2014-09-02,79.24544414161338,79.79492615471712,80.21624239298853,80.84575282775891
2014-09-03,79.15129992109217,79.60475040437564,80.10224662844254,80.61938271339663
2014-09-04,79.02813208257628,79.51812209090518,79.91797932871158,80.39124747107776
2014-09-05,79.06615977911787,79.46370015287468,79.77592436036383,80.38283118705549
2014-09-08,79.06043100130015,79.38556868568124,79.81597569208755,80.47735621820603
2014-09-09,78.93080043292102,79.34167738568459,79.7930257617338,80.34408595541798
2014-09-10,79.00419876590726,79.44892284095158,79.87506538305456,80.63813988835294
2014-09-11,79.03006174080632,79.48498137363492,79.9663786561914,80.61264230317934
2014-09-12,79.10988680855708,79.67485808018725,79.98128865497137,80.2416571364958
2014-09-15,79.2015763307448,79.62997285399211,79.5999559018994,80.22155388899697
2014-09-16,79.23836084402977,79.32094933843481,79.58865300401558,80.19606077109546
2014-09-17,78.85681685597528,79.31106690346456,79.65987206583203,80.57279689433217
2014-09-18,78.5457473583474,79.10569299329052,79.64730283162376,80.33960518770323
2014-09-19,78.53782857908372,79.2207086479325,79.63331841426614,80.40275861301508
2014-09-22,78.77641555907248,79.19509058246088,79.72571612921773,80.29096657668907
2014-09-23,78.64942575216851,79.17709292785324,79.56258060081244,80.26253700210576
2014-09-24,78.86762360912599,79.28595099807977,79.80426009556768,80.4090004074035
2014-09-25,78.67540613219782,79.37306159632563,79.60513469526693,80.19234326078829
2014-09-26,79.24690065392247,79.56543884014428,79.72584092226971,80.24875476854992
