Date,Value,Return
2013-09-01,106.29,-0.002630838687374368
2013-10-01,100.54,-0.05561554928106116
2013-11-01,93.86,-0.06875134789815772
2013-12-01,97.63,0.03938051287130847
2014-01-01,94.62,-0.03131595303457804
2014-02-01,100.82,0.06346787845148257
2014-03-01,100.8,-0.00019839301721652345
2014-04-01,102.07,0.012520496778138853
2014-05-01,102.18,0.001077111487244942
2014-06-01,105.79,0.034720033096031354
2014-07-01,103.59,-0.021015196928672507
2014-08-01,96.54,-0.07048336983766375
2014-09-01,93.21,-0.03510241815928131
2014-10-01,84.4,-0.09928761047115416
2014-11-01,75.79,-0.10760104377797364
2014-12-01,59.29,-0.2455257001046615
2015-01-01,47.22,-0.22762312606190943
2015-02-01,50.58,0.06873870958445218
2015-03-01,47.82,-0.05611227921164035
2015-04-01,54.45,0.1298388873487908
2015-05-01,59.27,0.08482042642077738
2015-06-01,59.82,0.00923677740205514
2015-07-01,50.9,-0.16147712964532496
2015-08-01,42.87,-0.17169064294659137
2015-09-01,45.48,0.05910038827244963
2015-10-01,46.22,0.01613993596389944
2015-11-01,42.44,-0.08532129110045236
2015-12-01,37.19,-0.13205140580880373
2016-01-01,31.68,-0.16035434099075355
2016-02-01,30.32,-0.043878006172054194
2016-03-01,37.55,0.2138658174359728
2016-04-01,40.75,0.08178246147672809
2016-05-01,46.71,0.13650243482714486
2016-06-01,48.76,0.04295203009905403
2016-07-01,44.65,-0.08805599729056268
2016-08-01,44.72,0.0015665215243357562
2016-09-01,45.18,0.010233682193013474
2016-10-01,49.78,0.09695878589958878
2016-11-01,45.66,-0.08639065583779656
2016-12-01,51.97,0.12944398791870101
2017-01-01,52.5,0.010146540577227553
2017-02-01,53.47,0.018307579363062192
2017-03-01,49.33,-0.08058833371499333
2017-04-01,51.06,0.034468996567690986
2017-05-01,48.48,-0.0518500700522789
2017-06-01,45.18,-0.07049683072120175
2017-07-01,46.63,0.031589599780372395
2017-08-01,48.04,0.02978988639155325
2017-09-01,49.82,0.03638251262225165
2017-10-01,51.58,0.034717490619164425
2017-11-01,56.64,0.09358144893226557
2017-12-01,57.88,0.02165645237781877
2018-01-01,63.7,0.09581266081483451
2018-02-01,62.23,-0.02334736399699129
2018-03-01,62.73,0.008002603527525333
2018-04-01,66.25,0.0545956627576798
2018-05-01,69.98,0.0547740220732105
2018-06-01,67.87,-0.030615376223874956
2018-07-01,70.98,0.04480403650268349
2018-08-01,68.06,-0.04200847814559081
2018-09-01,70.23,0.03138590109816946
2018-10-01,70.75,0.00737696635241778
2018-11-01,56.96,-0.21680326941962672
2018-12-01,49.52,-0.13997263872737956
